url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,"Ocean's Eleven",movie,"Crime, Thriller",2001,tt0240772,7.7,631678,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
,"Edward Scissorhands",movie,"Drama, Fantasy, Romance",1990,tt0099487,7.9,535797,"AG, BB, BS, NI, TT"
,"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,420108,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
,"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,585030,"BE, FR, MC"
,"Star Trek IV: The Voyage Home",movie,"Action, Adventure, Comedy",1986,tt0092007,7.3,92826,"AG, BB, BS, HN, NI, TT"
,"Star Trek V: The Final Frontier",movie,"Action, Adventure, Fantasy",1989,tt0098382,5.5,65190,"AG, BB, BS, HN, NI, TT"
,"Star Trek VI: The Undiscovered Country",movie,"Action, Adventure, Sci-Fi",1991,tt0102975,7.2,82014,"AG, BB, BS, HN, NI, TT"
,Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,478673,US
,"Blown Away",movie,"Action, Crime, Drama",1994,tt0109303,6.2,34391,"AG, BB, BS, HN, NI, TT, US"
,"The Interpreter",movie,"Crime, Mystery, Thriller",2005,tt0373926,6.4,111782,FR
,"The Good German",movie,"Drama, Mystery, Romance",2006,tt0452624,6,26257,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
,"A Clockwork Orange",movie,"Crime, Sci-Fi",1971,tt0066921,8.2,895020,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
,"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,800041,FR
,"Star Trek: Generations",movie,"Action, Adventure, Mystery",1994,tt0111280,6.6,88142,"AG, BB, BS, HN, NI, RS, TT"
,Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,805412,US
,"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.4,490474,"BE, FR"
,Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1108091,ES
,"To Be or Not to Be",movie,"Comedy, Romance, War",1942,tt0035446,8.1,44561,"AG, BB, BS, HN, NI, TT, US"
,"Star Trek: First Contact",movie,"Action, Adventure, Drama",1996,tt0117731,7.6,133563,"AG, BB, BS, HN, NI, RS, TT"
,"Star Trek: Insurrection",movie,"Action, Adventure, Sci-Fi",1998,tt0120844,6.4,80422,"AG, BB, BS, HN, NI, TT"
